  0.000000   0.000000   0.000000
  0.096774   0.008501   0.008861
  0.193548   0.030869   0.031513
  0.290323   0.063049   0.063915
  0.387097   0.101748   0.102782
  0.483871   0.144317   0.145474
  0.580645   0.188647   0.189890
  0.677419   0.233086   0.234383
  0.774194   0.276357   0.277682
  0.870968   0.317503   0.318834
  0.967742   0.355823   0.357143
  1.064516   0.390833   0.392127
  1.161290   0.422221   0.423477
  1.258065   0.449816   0.451026
  1.354839   0.473561   0.474717
  1.451613   0.493485   0.494581
  1.548387   0.509686   0.510718
  1.645161   0.522315   0.523279
  1.741935   0.531559   0.532453
  1.838710   0.537632   0.538455
  1.935484   0.540766   0.541518
  2.032258   0.541202   0.541882
  2.129032   0.539185   0.539793
  2.225806   0.534958   0.535495
  2.322581   0.528759   0.529225
  2.419355   0.520819   0.521215
  2.516129   0.511358   0.511686
  2.612903   0.500584   0.500844
  2.709677   0.488694   0.488888
  2.806452   0.475870   0.475998
  2.903226   0.462282   0.462345
  3.000000   0.448084   0.448084
