Exact																																								
0	0.011	0.022	0.032	0.042	0.052	0.061	0.07	0.078	0.086	0.093	0.099	0.104	0.107	0.11	0.112	0.114	0.114	0.115	0.115	0.116	0.115	0.115	0.114	0.114	0.112	0.11	0.107	0.104	0.099	0.093	0.086	0.078	0.07	0.061	0.052	0.042	0.032	0.022	0.011	0
0	0.007	0.015	0.022	0.028	0.035	0.041	0.047	0.052	0.058	0.062	0.066	0.07	0.072	0.074	0.075	0.076	0.077	0.077	0.078	0.078	0.078	0.077	0.077	0.076	0.075	0.074	0.072	0.07	0.066	0.062	0.058	0.052	0.047	0.041	0.035	0.028	0.022	0.015	0.007	0
0	0.004	0.007	0.011	0.014	0.018	0.021	0.024	0.026	0.029	0.031	0.033	0.035	0.036	0.037	0.038	0.038	0.039	0.039	0.039	0.039	0.039	0.039	0.039	0.038	0.038	0.037	0.036	0.035	0.033	0.031	0.029	0.026	0.024	0.021	0.018	0.014	0.011	0.007	0.004	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPU																																								
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.003	0.007	0.01	0.014	0.017	0.02	0.023	0.025	0.027	0.03	0.031	0.033	0.034	0.035	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.035	0.034	0.033	0.031	0.03	0.027	0.025	0.023	0.02	0.017	0.014	0.01	0.007	0.003	0
0	0.007	0.014	0.021	0.027	0.034	0.04	0.045	0.051	0.055	0.06	0.064	0.067	0.069	0.071	0.072	0.073	0.074	0.074	0.074	0.074	0.074	0.074	0.074	0.073	0.072	0.071	0.069	0.067	0.064	0.06	0.055	0.051	0.045	0.04	0.034	0.027	0.021	0.014	0.007	0
0	0.011	0.021	0.031	0.041	0.051	0.06	0.068	0.076	0.084	0.09	0.096	0.101	0.104	0.107	0.109	0.11	0.111	0.111	0.111	0.111	0.111	0.111	0.111	0.11	0.109	0.107	0.104	0.101	0.096	0.09	0.084	0.076	0.068	0.06	0.051	0.041	0.031	0.021	0.011	0
0	0.014	0.028	0.042	0.055	0.067	0.079	0.091	0.101	0.111	0.119	0.127	0.133	0.138	0.142	0.145	0.146	0.147	0.147	0.147	0.147	0.147	0.147	0.147	0.146	0.145	0.142	0.138	0.133	0.127	0.119	0.111	0.101	0.091	0.079	0.067	0.055	0.042	0.028	0.014	0
